Complexity metrics,Wed, 3 Jun 2020 18:27:59 EEST
Method,ev(G),iv(G),v(G)
"com.example.parking.ExampleInstrumentedTest.useAppContext()",1,1,1
"com.example.parking.domain.Address.Address()",1,1,1
"com.example.parking.domain.Address.Address(String,String,ZipCode)",1,1,1
"com.example.parking.domain.Address.getStreet()",1,1,1
"com.example.parking.domain.Address.getStreetNumber()",1,1,1
"com.example.parking.domain.Address.getZipCode()",1,1,1
"com.example.parking.domain.Address.setStreet(String)",1,1,1
"com.example.parking.domain.Address.setStreetNumber(String)",1,1,1
"com.example.parking.domain.Address.setZipCode(ZipCode)",1,1,1
"com.example.parking.domain.Address.toString()",1,1,1
"com.example.parking.domain.AddressTest.getStreetNumberTest()",1,1,1
"com.example.parking.domain.AddressTest.getStreetTest()",1,1,1
"com.example.parking.domain.AddressTest.getZipCodeTest()",1,1,1
"com.example.parking.domain.AddressTest.setup()",1,1,1
"com.example.parking.domain.ParkingRequest.FindParking(ArrayList<ParkingSpace>,Address,int,LocalDateTime)",1,4,4
"com.example.parking.domain.ParkingRequest.ParkingRequest()",1,1,1
"com.example.parking.domain.ParkingRequest.ParkingRequest(TimeRange,Pin,User,ParkingSpace)",1,1,1
"com.example.parking.domain.ParkingRequest.calculatePenalty()",1,2,2
"com.example.parking.domain.ParkingRequest.getDate()",1,1,1
"com.example.parking.domain.ParkingRequest.getParkingSpace()",1,1,1
"com.example.parking.domain.ParkingRequest.getPin()",1,1,1
"com.example.parking.domain.ParkingRequest.getRequestingUser()",1,1,1
"com.example.parking.domain.ParkingRequest.setDate(TimeRange)",1,1,1
"com.example.parking.domain.ParkingRequest.setParkingSpace(ParkingSpace)",1,1,1
"com.example.parking.domain.ParkingRequest.setPin(Pin)",1,1,1
"com.example.parking.domain.ParkingRequest.setRequestingUser(User)",1,1,1
"com.example.parking.domain.ParkingRequest.toString()",1,1,1
"com.example.parking.domain.ParkingRequest.validateParking(Pin)",2,2,2
"com.example.parking.domain.ParkingRequestTest.EmptyConTest()",1,1,1
"com.example.parking.domain.ParkingRequestTest.ValidateCorrectParkingTest()",1,1,1
"com.example.parking.domain.ParkingRequestTest.ValidateWrongPinParkingTest()",1,1,1
"com.example.parking.domain.ParkingRequestTest.findMultipleParking()",1,1,1
"com.example.parking.domain.ParkingRequestTest.findNoParking()",1,1,1
"com.example.parking.domain.ParkingRequestTest.findOneParking()",1,1,1
"com.example.parking.domain.ParkingRequestTest.getParkingSpace()",1,1,1
"com.example.parking.domain.ParkingRequestTest.getPin()",1,1,1
"com.example.parking.domain.ParkingRequestTest.getRequestingUser()",1,1,1
"com.example.parking.domain.ParkingRequestTest.setParkingSpace()",1,1,1
"com.example.parking.domain.ParkingRequestTest.setPin()",1,1,1
"com.example.parking.domain.ParkingRequestTest.setRequestingUser()",1,1,1
"com.example.parking.domain.ParkingRequestTest.setTimeOfExchangeTest()",1,1,1
"com.example.parking.domain.ParkingRequestTest.setup()",1,1,1
"com.example.parking.domain.ParkingRequestTest.toStringTest()",1,1,1
"com.example.parking.domain.ParkingSpace.ParkingSpace()",1,1,1
"com.example.parking.domain.ParkingSpace.ParkingSpace(Address,boolean,Credits,TimeRange,Date,User,String)",1,1,1
"com.example.parking.domain.ParkingSpace.getAddress()",1,1,1
"com.example.parking.domain.ParkingSpace.getAvailability()",1,1,1
"com.example.parking.domain.ParkingSpace.getParkedUser()",1,1,1
"com.example.parking.domain.ParkingSpace.getPlate()",1,1,1
"com.example.parking.domain.ParkingSpace.getPrice()",1,1,1
"com.example.parking.domain.ParkingSpace.getTimeOfExchange()",1,1,1
"com.example.parking.domain.ParkingSpace.getTimeRange()",1,1,1
"com.example.parking.domain.ParkingSpace.makeParkingAvailable()",1,1,1
"com.example.parking.domain.ParkingSpace.makeParkingUnavailable()",1,1,1
"com.example.parking.domain.ParkingSpace.setAddress(Address)",1,1,1
"com.example.parking.domain.ParkingSpace.setAvailability(boolean)",1,1,1
"com.example.parking.domain.ParkingSpace.setParkedUser(User)",1,1,1
"com.example.parking.domain.ParkingSpace.setPlate(String)",1,1,1
"com.example.parking.domain.ParkingSpace.setPrice(Credits)",1,2,3
"com.example.parking.domain.ParkingSpace.setTimeOfExchange(Date)",1,1,1
"com.example.parking.domain.ParkingSpace.setTimeRange(TimeRange)",1,1,1
"com.example.parking.domain.ParkingSpace.toString()",1,1,1
"com.example.parking.domain.ParkingSpaceTest.FullConTest()",1,1,1
"com.example.parking.domain.ParkingSpaceTest.getAddressTest()",1,1,1
"com.example.parking.domain.ParkingSpaceTest.getAvailabilityTest()",1,1,1
"com.example.parking.domain.ParkingSpaceTest.getParkedUserTest()",1,1,1
"com.example.parking.domain.ParkingSpaceTest.getPlateTest()",1,1,1
"com.example.parking.domain.ParkingSpaceTest.getPriceTest()",1,1,1
"com.example.parking.domain.ParkingSpaceTest.getTimeOfExchangeTest()",1,1,1
"com.example.parking.domain.ParkingSpaceTest.getTimeRangeTest()",1,1,1
"com.example.parking.domain.ParkingSpaceTest.makeParkingAvailableTest()",1,1,1
"com.example.parking.domain.ParkingSpaceTest.makeParkingUnavailableTest()",1,1,1
"com.example.parking.domain.ParkingSpaceTest.setAddressTest()",1,1,1
"com.example.parking.domain.ParkingSpaceTest.setAvailabilityTest()",1,1,1
"com.example.parking.domain.ParkingSpaceTest.setParkedUserTest()",1,1,1
